Crew_ID,Age,Stress_Level,Crew_Role,Fitness_Level,Species,Home_Planet,Ship_Name,Recent_Medical_Incident
CRW0688,174,9,Navigator,High,Synthoid,Krellar,SS Andromeda,True
CRW0689,31,99,Navigator,Moderate,Aquarion,Eldar,SS Andromeda,False
CRW0690,77,71,Security,Moderate,Vulperian,Zylar IV,SS Odyssey,False
CRW0691,51,53,Scientist,Low,Krell,Zeta Reticuli,SS Andromeda,False
CRW0692,130,51,Pilot,Moderate,Eldari,Earth,SS Aurora,True
CRW0693,26,19,Pilot,High,Krell,Dracos,SS Andromeda,False
CRW0694,140,31,Medical Officer,Moderate,Synthoid,Aquaros,SS Solaris,False
CRW0695,54,13,Medical Officer,Low,Synthoid,Earth,SS Solaris,False
CRW0696,139,49,Communications Officer,Low,Zetan,Zylar IV,SS Aurora,False
CRW0697,86,27,Navigator,Moderate,Eldari,Vulpes,SS Odyssey,False
CRW0698,167,52,Communications Officer,High,Synthoid,Felix,SS Orion,False
CRW0699,198,23,Navigator,Low,Andromedan,Zeta Reticuli,SS Aurora,False
CRW0700,32,78,Medical Officer,High,Andromedan,Zylar IV,SS Andromeda,False
CRW0701,106,21,Engineer,Moderate,Human,Nova Terra,SS Aurora,False
CRW0702,47,29,Scientist,Moderate,Vulperian,Andromeda Prime,SS Solaris,False
CRW0703,84,62,Communications Officer,High,Aquarion,Zylar IV,SS Aurora,False
CRW0704,107,3,Scientist,High,Krell,Felix,SS Aurora,False
CRW0705,80,76,Scientist,High,Vulperian,Eldar,SS Orion,False
CRW0706,48,58,Scientist,Moderate,Aquarion,Zylar IV,SS Solaris,False
CRW0707,198,86,Medical Officer,Low,Aquarion,Eldar,SS Endeavor,True
CRW0708,182,7,Pilot,High,Xel'Naga,Vulpes,SS Endeavor,True
CRW0709,119,81,Medical Officer,Low,Synthoid,Dracos,SS Solaris,False
CRW0710,126,11,Scientist,High,Human,Krellar,SS Endeavor,False
CRW0711,120,30,Medical Officer,Moderate,Synthoid,Andromeda Prime,SS Andromeda,False
CRW0712,150,77,Scientist,High,Human,Vulpes,SS Endeavor,False
CRW0713,170,33,Security,Low,Vulperian,Felix,SS Andromeda,False
CRW0714,76,81,Navigator,Moderate,Felid,Eldar,SS Solaris,False
CRW0715,27,97,Pilot,Moderate,Felid,Krellar,SS Endeavor,False
CRW0716,116,74,Security,Low,Zetan,Nova Terra,SS Endeavor,True
CRW0717,154,75,Engineer,Moderate,Zetan,Earth,SS Odyssey,False
CRW0718,123,48,Medical Officer,Low,Vulperian,Andromeda Prime,SS Andromeda,False
CRW0719,24,78,Engineer,Moderate,Eldari,Aquaros,SS Andromeda,True
CRW0720,44,56,Communications Officer,Low,Andromedan,Vulpes,SS Aurora,False
CRW0721,74,94,Medical Officer,Moderate,Aquarion,Earth,SS Orion,False
CRW0722,186,92,Navigator,High,Human,Earth,SS Endeavor,False
CRW0723,104,25,Security,Moderate,Draconian,Felix,SS Odyssey,False
CRW0724,166,17,Navigator,High,Felid,Zylar IV,SS Orion,True
CRW0725,106,95,Communications Officer,Moderate,Synthoid,Zylar IV,SS Odyssey,True
CRW0726,99,85,Scientist,Moderate,Vulperian,Aquaros,SS Orion,False
CRW0727,131,37,Navigator,Moderate,Aquarion,Aquaros,SS Endeavor,False
CRW0728,22,80,Navigator,High,Felid,Eldar,SS Odyssey,False
CRW0729,72,86,Scientist,High,Human,Aquaros,SS Andromeda,False
CRW0730,194,87,Medical Officer,Moderate,Krell,Earth,SS Aurora,False
CRW0731,25,49,Scientist,Low,Eldari,Eldar,SS Odyssey,True
CRW0732,134,7,Security,High,Synthoid,Krellar,SS Solaris,False
CRW0733,53,40,Navigator,Moderate,Zetan,Felix,SS Endeavor,False
CRW0734,55,5,Scientist,Moderate,Vulperian,Dracos,SS Endeavor,False
CRW0735,113,68,Communications Officer,Moderate,Felid,Dracos,SS Solaris,True
CRW0736,116,43,Communications Officer,High,Zetan,Felix,SS Orion,False
CRW0737,93,63,Navigator,Moderate,Human,Dracos,SS Aurora,True
CRW0738,60,28,Security,High,Zetan,Andromeda Prime,SS Orion,False
CRW0739,175,27,Engineer,Low,Felid,Andromeda Prime,SS Solaris,False
CRW0740,183,10,Security,High,Felid,Aquaros,SS Solaris,True
CRW0741,139,64,Pilot,High,Synthoid,Dracos,SS Aurora,False
CRW0742,24,18,Pilot,High,Andromedan,Nova Terra,SS Solaris,False
CRW0743,144,8,Pilot,High,Felid,Zylar IV,SS Solaris,False
CRW0744,71,26,Navigator,Moderate,Aquarion,Nova Terra,SS Odyssey,False
CRW0745,33,33,Communications Officer,High,Andromedan,Dracos,SS Aurora,False
CRW0746,75,43,Medical Officer,High,Vulperian,Dracos,SS Endeavor,False
CRW0747,154,67,Communications Officer,Moderate,Andromedan,Zylar IV,SS Orion,True
CRW0748,78,99,Medical Officer,High,Xel'Naga,Dracos,SS Endeavor,False
CRW0749,166,81,Medical Officer,High,Felid,Vulpes,SS Endeavor,True
CRW0750,133,14,Communications Officer,Low,Aquarion,Earth,SS Odyssey,False
CRW0751,68,50,Navigator,Moderate,Human,Eldar,SS Orion,False
CRW0752,172,12,Security,Low,Aquarion,Zylar IV,SS Endeavor,True
CRW0753,106,82,Medical Officer,Low,Xel'Naga,Dracos,SS Aurora,True
CRW0754,163,48,Engineer,Moderate,Draconian,Andromeda Prime,SS Orion,False
CRW0755,87,69,Communications Officer,High,Andromedan,Andromeda Prime,SS Andromeda,False
CRW0756,96,55,Communications Officer,Moderate,Aquarion,Earth,SS Odyssey,False
CRW0757,124,75,Pilot,Low,Zetan,Andromeda Prime,SS Endeavor,False
CRW0758,187,50,Security,Moderate,Human,Eldar,SS Solaris,False
CRW0759,59,36,Pilot,Moderate,Felid,Zeta Reticuli,SS Orion,False
CRW0760,71,16,Communications Officer,High,Felid,Felix,SS Andromeda,False
CRW0761,119,57,Communications Officer,Low,Krell,Zeta Reticuli,SS Solaris,False
CRW0762,103,86,Medical Officer,Moderate,Vulperian,Zeta Reticuli,SS Andromeda,True
CRW0763,51,89,Security,Low,Vulperian,Earth,SS Endeavor,False
CRW0764,100,28,Scientist,High,Vulperian,Earth,SS Solaris,False
CRW0765,112,32,Engineer,High,Aquarion,Eldar,SS Endeavor,True
CRW0766,73,59,Medical Officer,High,Andromedan,Zylar IV,SS Solaris,True
CRW0767,187,90,Communications Officer,Moderate,Aquarion,Aquaros,SS Orion,False
CRW0768,100,88,Medical Officer,High,Felid,Zeta Reticuli,SS Aurora,False
CRW0769,51,54,Engineer,High,Synthoid,Andromeda Prime,SS Aurora,True
CRW0770,127,9,Communications Officer,Low,Zetan,Nova Terra,SS Andromeda,True
CRW0771,72,46,Engineer,High,Felid,Aquaros,SS Odyssey,True
CRW0772,102,22,Scientist,Low,Krell,Eldar,SS Solaris,False
CRW0773,154,84,Medical Officer,High,Krell,Zylar IV,SS Endeavor,False
CRW0774,50,20,Navigator,Low,Zetan,Andromeda Prime,SS Odyssey,False
CRW0775,153,12,Medical Officer,Moderate,Xel'Naga,Dracos,SS Orion,True
CRW0776,159,100,Pilot,Low,Eldari,Zylar IV,SS Orion,False
CRW0777,166,32,Security,Low,Felid,Zeta Reticuli,SS Orion,True
CRW0778,95,23,Security,High,Felid,Zeta Reticuli,SS Aurora,False
CRW0779,38,10,Pilot,High,Synthoid,Dracos,SS Endeavor,False
CRW0780,105,16,Communications Officer,High,Human,Eldar,SS Orion,False
CRW0781,90,67,Security,Moderate,Krell,Krellar,SS Orion,False
CRW0782,55,46,Engineer,Low,Vulperian,Zylar IV,SS Andromeda,True
CRW0783,27,24,Security,Moderate,Aquarion,Dracos,SS Solaris,False
CRW0784,74,93,Security,Moderate,Xel'Naga,Eldar,SS Solaris,False
CRW0785,147,72,Pilot,High,Felid,Eldar,SS Solaris,False
CRW0786,64,20,Communications Officer,Low,Eldari,Earth,SS Odyssey,False
CRW0787,136,83,Scientist,Low,Zetan,Zylar IV,SS Andromeda,False
CRW0788,132,82,Security,High,Draconian,Andromeda Prime,SS Aurora,False
CRW0789,172,82,Navigator,Moderate,Human,Krellar,SS Odyssey,False
CRW0790,101,11,Security,High,Eldari,Vulpes,SS Andromeda,False
CRW0791,116,36,Scientist,Moderate,Vulperian,Nova Terra,SS Orion,False
CRW0792,139,41,Pilot,Moderate,Eldari,Zylar IV,SS Endeavor,True
CRW0793,165,16,Scientist,High,Krell,Aquaros,SS Odyssey,False
CRW0794,29,100,Pilot,Moderate,Felid,Eldar,SS Odyssey,False
CRW0795,153,47,Engineer,High,Aquarion,Earth,SS Orion,False
CRW0796,125,27,Pilot,Moderate,Zetan,Dracos,SS Orion,False
CRW0797,153,40,Engineer,Moderate,Eldari,Zeta Reticuli,SS Endeavor,True
CRW0798,46,98,Engineer,High,Human,Dracos,SS Solaris,False
CRW0799,117,46,Pilot,Moderate,Eldari,Dracos,SS Odyssey,False
CRW0800,176,17,Navigator,Moderate,Felid,Krellar,SS Andromeda,False
CRW0801,114,77,Medical Officer,High,Draconian,Zylar IV,SS Aurora,False
CRW0802,181,98,Pilot,High,Xel'Naga,Dracos,SS Orion,False
CRW0803,199,70,Security,Moderate,Krell,Krellar,SS Orion,False
CRW0804,82,12,Navigator,Low,Aquarion,Vulpes,SS Aurora,False
CRW0805,143,81,Navigator,High,Vulperian,Andromeda Prime,SS Andromeda,False
CRW0806,72,100,Security,High,Zetan,Vulpes,SS Orion,False
CRW0807,168,12,Medical Officer,High,Zetan,Zylar IV,SS Aurora,False
CRW0808,42,99,Navigator,Moderate,Xel'Naga,Zeta Reticuli,SS Orion,False
CRW0809,26,30,Engineer,High,Andromedan,Vulpes,SS Solaris,False
CRW0810,113,1,Medical Officer,High,Andromedan,Krellar,SS Solaris,True
CRW0811,191,15,Communications Officer,Moderate,Vulperian,Krellar,SS Orion,False
CRW0812,82,8,Security,Moderate,Eldari,Nova Terra,SS Orion,False
CRW0813,43,72,Medical Officer,High,Draconian,Eldar,SS Solaris,False
CRW0814,170,37,Pilot,Moderate,Zetan,Aquaros,SS Orion,True
CRW0815,91,74,Medical Officer,Moderate,Eldari,Aquaros,SS Andromeda,False
CRW0816,22,53,Engineer,High,Zetan,Zylar IV,SS Andromeda,False
CRW0817,154,55,Pilot,High,Zetan,Felix,SS Endeavor,False
CRW0818,33,85,Scientist,Low,Eldari,Eldar,SS Andromeda,False
CRW0819,111,96,Security,High,Felid,Nova Terra,SS Odyssey,False
CRW0820,67,99,Security,Moderate,Xel'Naga,Earth,SS Odyssey,False
CRW0821,55,86,Medical Officer,Low,Felid,Dracos,SS Odyssey,False
CRW0822,198,44,Navigator,High,Andromedan,Vulpes,SS Orion,False
CRW0823,99,33,Pilot,High,Synthoid,Eldar,SS Orion,False
CRW0824,66,8,Scientist,Moderate,Human,Dracos,SS Aurora,False
CRW0825,176,87,Pilot,Low,Xel'Naga,Earth,SS Odyssey,True
CRW0826,94,7,Security,Low,Felid,Zeta Reticuli,SS Odyssey,True
CRW0827,47,6,Pilot,Moderate,Krell,Nova Terra,SS Andromeda,False
CRW0828,68,35,Scientist,High,Draconian,Dracos,SS Solaris,False
CRW0829,142,17,Navigator,Moderate,Draconian,Nova Terra,SS Solaris,False
CRW0830,77,2,Medical Officer,Moderate,Human,Nova Terra,SS Endeavor,False
CRW0831,115,27,Engineer,Moderate,Draconian,Eldar,SS Aurora,False
CRW0832,128,69,Pilot,High,Eldari,Krellar,SS Solaris,False
CRW0833,84,43,Engineer,High,Draconian,Andromeda Prime,SS Endeavor,False
CRW0834,69,20,Security,Moderate,Synthoid,Zylar IV,SS Andromeda,False
CRW0835,82,27,Medical Officer,Moderate,Draconian,Aquaros,SS Aurora,False
CRW0836,102,53,Communications Officer,High,Zetan,Nova Terra,SS Aurora,False
CRW0837,47,53,Medical Officer,High,Xel'Naga,Eldar,SS Odyssey,False
CRW0838,57,64,Pilot,Low,Eldari,Eldar,SS Orion,True
CRW0839,22,99,Navigator,Moderate,Andromedan,Dracos,SS Odyssey,False
CRW0840,29,20,Medical Officer,High,Draconian,Dracos,SS Andromeda,True
CRW0841,134,98,Pilot,High,Vulperian,Vulpes,SS Odyssey,False
CRW0842,120,12,Pilot,High,Vulperian,Nova Terra,SS Aurora,False
CRW0843,68,56,Engineer,Low,Vulperian,Andromeda Prime,SS Odyssey,True
CRW0844,148,48,Medical Officer,Moderate,Draconian,Zylar IV,SS Endeavor,False
CRW0845,77,53,Pilot,Moderate,Krell,Zylar IV,SS Odyssey,False
CRW0846,35,9,Engineer,Moderate,Felid,Felix,SS Solaris,False
CRW0847,49,52,Scientist,High,Zetan,Zeta Reticuli,SS Andromeda,True
CRW0848,99,43,Communications Officer,Low,Aquarion,Zeta Reticuli,SS Andromeda,False
CRW0849,151,46,Engineer,Moderate,Draconian,Vulpes,SS Aurora,False
CRW0850,130,52,Engineer,High,Krell,Aquaros,SS Odyssey,False
CRW0851,175,73,Pilot,High,Felid,Zeta Reticuli,SS Aurora,True
CRW0852,35,45,Security,Moderate,Aquarion,Earth,SS Aurora,False
CRW0853,77,12,Security,Low,Human,Vulpes,SS Endeavor,False
CRW0854,136,36,Navigator,High,Synthoid,Zylar IV,SS Orion,False
CRW0855,28,23,Security,Low,Zetan,Zylar IV,SS Aurora,False
CRW0856,24,1,Engineer,Moderate,Draconian,Felix,SS Orion,False
CRW0857,132,85,Navigator,High,Xel'Naga,Andromeda Prime,SS Orion,False
CRW0858,172,80,Pilot,High,Eldari,Eldar,SS Andromeda,False
CRW0859,128,99,Medical Officer,High,Xel'Naga,Earth,SS Solaris,True
CRW0860,39,13,Communications Officer,Moderate,Felid,Aquaros,SS Solaris,True
CRW0861,59,9,Communications Officer,High,Xel'Naga,Dracos,SS Odyssey,False
CRW0862,136,34,Engineer,High,Human,Vulpes,SS Endeavor,True
CRW0863,36,24,Engineer,Moderate,Eldari,Zeta Reticuli,SS Endeavor,False
CRW0864,140,2,Navigator,Moderate,Human,Krellar,SS Solaris,True
CRW0865,49,16,Pilot,High,Aquarion,Felix,SS Odyssey,False
CRW0866,60,11,Scientist,Moderate,Human,Felix,SS Solaris,False
CRW0867,38,53,Engineer,Moderate,Vulperian,Andromeda Prime,SS Odyssey,False
CRW0868,107,23,Scientist,Moderate,Synthoid,Felix,SS Odyssey,False
CRW0869,147,28,Scientist,Low,Vulperian,Zylar IV,SS Odyssey,False
CRW0870,65,42,Security,High,Draconian,Felix,SS Odyssey,False
CRW0871,46,24,Pilot,Low,Aquarion,Krellar,SS Andromeda,False
CRW0872,166,99,Communications Officer,Moderate,Krell,Vulpes,SS Andromeda,False
CRW0873,34,59,Communications Officer,Moderate,Aquarion,Nova Terra,SS Solaris,True
CRW0874,46,89,Scientist,Moderate,Krell,Aquaros,SS Odyssey,False
CRW0875,89,64,Communications Officer,Moderate,Synthoid,Nova Terra,SS Aurora,True
CRW0876,159,83,Pilot,High,Human,Vulpes,SS Odyssey,True
CRW0877,88,27,Security,Moderate,Human,Nova Terra,SS Aurora,False
CRW0878,130,15,Pilot,Moderate,Eldari,Aquaros,SS Andromeda,False
CRW0879,167,46,Engineer,Moderate,Draconian,Eldar,SS Odyssey,False
CRW0880,132,80,Scientist,High,Xel'Naga,Vulpes,SS Orion,False
CRW0881,132,91,Pilot,Low,Andromedan,Krellar,SS Solaris,False
CRW0882,55,57,Communications Officer,Moderate,Aquarion,Nova Terra,SS Odyssey,False
CRW0883,132,75,Medical Officer,High,Aquarion,Aquaros,SS Endeavor,False
CRW0884,29,26,Pilot,Moderate,Draconian,Zeta Reticuli,SS Aurora,False
CRW0885,189,52,Scientist,Moderate,Vulperian,Dracos,SS Odyssey,False
CRW0886,134,41,Security,Moderate,Zetan,Aquaros,SS Orion,False
CRW0887,104,58,Communications Officer,Moderate,Draconian,Andromeda Prime,SS Aurora,False
CRW0888,63,46,Security,Low,Andromedan,Dracos,SS Orion,False
CRW0889,190,93,Scientist,High,Human,Zeta Reticuli,SS Solaris,False
CRW0890,122,33,Communications Officer,Moderate,Krell,Earth,SS Solaris,False
CRW0891,27,36,Engineer,Low,Vulperian,Krellar,SS Solaris,True
CRW0892,47,5,Communications Officer,Low,Felid,Zylar IV,SS Andromeda,False
CRW0893,85,6,Engineer,Moderate,Vulperian,Zeta Reticuli,SS Orion,False
CRW0894,80,95,Security,Low,Eldari,Eldar,SS Odyssey,False
CRW0895,130,95,Security,High,Synthoid,Dracos,SS Endeavor,False
CRW0896,142,24,Scientist,Low,Andromedan,Eldar,SS Endeavor,False
CRW0897,54,32,Engineer,High,Vulperian,Dracos,SS Solaris,False
CRW0898,171,54,Security,High,Andromedan,Andromeda Prime,SS Endeavor,False
CRW0899,42,57,Engineer,High,Draconian,Earth,SS Aurora,False
CRW0900,91,6,Security,Moderate,Felid,Zylar IV,SS Orion,True
CRW0901,133,56,Communications Officer,High,Krell,Andromeda Prime,SS Orion,True
CRW0902,25,11,Pilot,High,Krell,Zeta Reticuli,SS Orion,False
CRW0903,115,15,Medical Officer,High,Felid,Eldar,SS Aurora,False
CRW0904,96,79,Communications Officer,High,Aquarion,Dracos,SS Odyssey,False
CRW0905,83,42,Navigator,Moderate,Human,Zeta Reticuli,SS Andromeda,True
CRW0906,115,99,Pilot,Moderate,Aquarion,Felix,SS Aurora,False
CRW0907,116,76,Navigator,High,Vulperian,Aquaros,SS Orion,False
CRW0908,173,6,Security,Moderate,Synthoid,Earth,SS Orion,False
CRW0909,76,99,Medical Officer,Low,Aquarion,Krellar,SS Orion,False
CRW0910,158,50,Medical Officer,Moderate,Aquarion,Aquaros,SS Odyssey,False
CRW0911,152,72,Security,High,Aquarion,Eldar,SS Endeavor,False
CRW0912,52,31,Security,Moderate,Andromedan,Earth,SS Andromeda,False
CRW0913,61,74,Engineer,High,Draconian,Earth,SS Aurora,False
CRW0914,57,7,Security,High,Synthoid,Zeta Reticuli,SS Orion,False
CRW0915,173,96,Scientist,High,Krell,Aquaros,SS Solaris,False
CRW0916,27,86,Security,Low,Eldari,Zeta Reticuli,SS Andromeda,False
CRW0917,87,88,Scientist,High,Andromedan,Zeta Reticuli,SS Solaris,True
CRW0918,96,71,Security,High,Vulperian,Felix,SS Andromeda,False
CRW0919,25,44,Engineer,High,Synthoid,Zeta Reticuli,SS Orion,False
CRW0920,100,85,Scientist,Low,Krell,Eldar,SS Andromeda,False
CRW0921,155,58,Pilot,Moderate,Synthoid,Dracos,SS Andromeda,True
CRW0922,139,3,Scientist,High,Zetan,Dracos,SS Orion,False
CRW0923,134,66,Communications Officer,Moderate,Zetan,Eldar,SS Odyssey,True
CRW0924,115,28,Engineer,Moderate,Aquarion,Zylar IV,SS Solaris,False
CRW0925,83,28,Navigator,Moderate,Aquarion,Krellar,SS Odyssey,False
CRW0926,100,97,Scientist,High,Felid,Andromeda Prime,SS Solaris,False
CRW0927,157,97,Communications Officer,Low,Zetan,Felix,SS Endeavor,False
CRW0928,47,27,Communications Officer,High,Eldari,Krellar,SS Solaris,False
CRW0929,194,76,Communications Officer,Moderate,Krell,Eldar,SS Solaris,False
CRW0930,65,78,Security,High,Vulperian,Nova Terra,SS Andromeda,False
CRW0931,154,86,Communications Officer,High,Felid,Andromeda Prime,SS Endeavor,True
CRW0932,91,43,Security,High,Human,Zylar IV,SS Orion,False
CRW0933,175,89,Navigator,Moderate,Human,Vulpes,SS Orion,False
CRW0934,139,3,Engineer,High,Andromedan,Andromeda Prime,SS Aurora,False
CRW0935,89,89,Medical Officer,Moderate,Eldari,Earth,SS Endeavor,False
CRW0936,40,8,Security,High,Eldari,Eldar,SS Andromeda,False
CRW0937,41,4,Communications Officer,Moderate,Vulperian,Felix,SS Aurora,False
CRW0938,134,55,Communications Officer,Low,Synthoid,Vulpes,SS Aurora,False
CRW0939,161,95,Pilot,Moderate,Human,Krellar,SS Orion,False
CRW0940,68,83,Communications Officer,Moderate,Synthoid,Vulpes,SS Solaris,False
CRW0941,22,49,Engineer,Moderate,Synthoid,Felix,SS Andromeda,True
CRW0942,111,74,Scientist,High,Eldari,Eldar,SS Endeavor,False
CRW0943,163,14,Scientist,Low,Synthoid,Krellar,SS Aurora,False
CRW0944,85,31,Communications Officer,High,Human,Eldar,SS Andromeda,False
CRW0945,59,27,Pilot,Moderate,Krell,Aquaros,SS Orion,False
CRW0946,58,21,Security,Moderate,Xel'Naga,Nova Terra,SS Aurora,False
CRW0947,147,16,Engineer,High,Synthoid,Zylar IV,SS Aurora,False
CRW0948,160,58,Pilot,High,Vulperian,Zylar IV,SS Odyssey,False
CRW0949,121,89,Security,Moderate,Draconian,Earth,SS Orion,True
CRW0950,98,70,Engineer,Low,Aquarion,Nova Terra,SS Odyssey,False
CRW0951,24,56,Communications Officer,Low,Vulperian,Nova Terra,SS Orion,False
CRW0952,182,25,Scientist,Moderate,Zetan,Earth,SS Orion,False
CRW0953,155,24,Engineer,Moderate,Human,Krellar,SS Odyssey,False
CRW0954,199,9,Communications Officer,Low,Draconian,Felix,SS Andromeda,True
CRW0955,31,44,Navigator,High,Aquarion,Earth,SS Andromeda,False
CRW0956,26,82,Medical Officer,High,Felid,Krellar,SS Andromeda,False
CRW0957,172,10,Engineer,Moderate,Vulperian,Earth,SS Solaris,True
CRW0958,159,76,Medical Officer,Low,Draconian,Andromeda Prime,SS Aurora,False
CRW0959,193,52,Engineer,Low,Xel'Naga,Andromeda Prime,SS Andromeda,False
CRW0960,151,71,Medical Officer,Moderate,Human,Aquaros,SS Solaris,False
CRW0961,34,67,Navigator,High,Krell,Dracos,SS Aurora,False
CRW0962,189,94,Scientist,Moderate,Andromedan,Felix,SS Andromeda,False
CRW0963,151,27,Security,High,Eldari,Earth,SS Orion,True
CRW0964,105,74,Medical Officer,High,Xel'Naga,Nova Terra,SS Endeavor,True
CRW0965,86,64,Navigator,Moderate,Zetan,Andromeda Prime,SS Andromeda,False
CRW0966,84,48,Medical Officer,High,Eldari,Zeta Reticuli,SS Endeavor,False
CRW0967,122,46,Scientist,Low,Krell,Krellar,SS Andromeda,True
CRW0968,94,51,Medical Officer,Moderate,Xel'Naga,Andromeda Prime,SS Orion,False
CRW0969,38,87,Navigator,Moderate,Aquarion,Andromeda Prime,SS Endeavor,False
CRW0970,30,53,Communications Officer,High,Draconian,Eldar,SS Solaris,True
CRW0971,164,59,Navigator,High,Human,Krellar,SS Orion,True
CRW0972,173,56,Pilot,High,Draconian,Zylar IV,SS Endeavor,False
CRW0973,59,46,Scientist,Low,Synthoid,Vulpes,SS Endeavor,False
CRW0974,184,30,Communications Officer,Low,Vulperian,Felix,SS Odyssey,True
CRW0975,115,45,Pilot,Moderate,Zetan,Krellar,SS Odyssey,False
CRW0976,116,25,Scientist,High,Synthoid,Aquaros,SS Orion,True
CRW0977,70,4,Communications Officer,Low,Synthoid,Eldar,SS Orion,False
CRW0978,90,83,Medical Officer,High,Zetan,Krellar,SS Orion,False
CRW0979,83,51,Communications Officer,High,Vulperian,Krellar,SS Aurora,False
CRW0980,199,74,Navigator,Moderate,Aquarion,Dracos,SS Solaris,False
CRW0981,99,53,Pilot,Low,Felid,Eldar,SS Andromeda,False
CRW0982,138,32,Medical Officer,High,Vulperian,Krellar,SS Odyssey,True
CRW0983,141,49,Navigator,High,Human,Vulpes,SS Endeavor,True
CRW0984,158,37,Scientist,Low,Draconian,Vulpes,SS Odyssey,False
CRW0985,183,26,Communications Officer,High,Aquarion,Zeta Reticuli,SS Andromeda,False
CRW0986,97,97,Navigator,High,Andromedan,Eldar,SS Orion,False
CRW0987,56,14,Medical Officer,Moderate,Felid,Zylar IV,SS Odyssey,False
CRW0988,22,95,Pilot,Low,Draconian,Krellar,SS Solaris,False
CRW0989,61,60,Pilot,Moderate,Aquarion,Dracos,SS Solaris,False
CRW0990,85,20,Communications Officer,Low,Vulperian,Dracos,SS Aurora,False
CRW0991,171,45,Navigator,Moderate,Zetan,Nova Terra,SS Odyssey,False
CRW0992,81,68,Medical Officer,High,Vulperian,Zylar IV,SS Orion,False
CRW0993,85,5,Engineer,Low,Felid,Dracos,SS Endeavor,False
CRW0994,114,37,Scientist,Moderate,Andromedan,Felix,SS Aurora,False
CRW0995,93,61,Scientist,High,Aquarion,Felix,SS Orion,False
CRW0996,32,85,Medical Officer,Moderate,Human,Vulpes,SS Aurora,False
CRW0997,126,61,Engineer,High,Vulperian,Nova Terra,SS Odyssey,False
CRW0998,35,81,Pilot,High,Aquarion,Earth,SS Andromeda,False
CRW0999,81,77,Communications Officer,High,Draconian,Dracos,SS Odyssey,True
CRW1000,51,73,Security,Moderate,Andromedan,Aquaros,SS Orion,False
CRW1001,56,45,Security,Low,Human,Eldar,SS Endeavor,True
CRW1002,186,12,Communications Officer,Moderate,Aquarion,Dracos,SS Endeavor,False
CRW1003,26,94,Medical Officer,Low,Xel'Naga,Andromeda Prime,SS Orion,False
CRW1004,104,93,Engineer,High,Vulperian,Zylar IV,SS Aurora,False
CRW1005,144,2,Engineer,High,Felid,Andromeda Prime,SS Solaris,False
CRW1006,99,93,Scientist,High,Andromedan,Zeta Reticuli,SS Orion,True
CRW1007,175,5,Pilot,High,Human,Dracos,SS Odyssey,False
CRW1008,83,92,Navigator,High,Human,Earth,SS Endeavor,False
CRW1009,153,7,Engineer,Moderate,Felid,Andromeda Prime,SS Andromeda,False
CRW1010,110,43,Communications Officer,Low,Synthoid,Andromeda Prime,SS Endeavor,True
CRW1011,63,32,Navigator,Low,Eldari,Zylar IV,SS Solaris,False
CRW1012,110,80,Security,High,Andromedan,Nova Terra,SS Endeavor,False
CRW1013,167,74,Navigator,Low,Human,Earth,SS Solaris,False
CRW1014,61,76,Pilot,High,Aquarion,Andromeda Prime,SS Orion,False
CRW1015,93,49,Communications Officer,High,Synthoid,Felix,SS Endeavor,False
CRW1016,60,10,Pilot,Low,Eldari,Krellar,SS Aurora,False
CRW1017,125,94,Navigator,Moderate,Draconian,Earth,SS Odyssey,True
CRW1018,35,27,Medical Officer,High,Felid,Krellar,SS Aurora,False
CRW1019,53,69,Engineer,Moderate,Aquarion,Dracos,SS Odyssey,False
CRW1020,146,40,Communications Officer,High,Vulperian,Andromeda Prime,SS Endeavor,False
CRW1021,187,15,Medical Officer,Moderate,Eldari,Andromeda Prime,SS Endeavor,False
CRW1022,118,67,Navigator,Moderate,Andromedan,Vulpes,SS Odyssey,True
CRW1023,44,98,Engineer,Low,Vulperian,Vulpes,SS Andromeda,False
CRW1024,84,47,Scientist,High,Krell,Zylar IV,SS Endeavor,True
CRW1025,164,55,Medical Officer,High,Krell,Eldar,SS Andromeda,False
CRW1026,174,63,Medical Officer,Moderate,Andromedan,Eldar,SS Andromeda,False
CRW1027,166,58,Navigator,Moderate,Draconian,Nova Terra,SS Odyssey,False
CRW1028,74,89,Security,High,Eldari,Zylar IV,SS Andromeda,False
CRW1029,125,61,Navigator,Moderate,Synthoid,Eldar,SS Andromeda,False
CRW1030,125,75,Medical Officer,Low,Xel'Naga,Zylar IV,SS Orion,False
CRW1031,60,10,Engineer,Low,Felid,Andromeda Prime,SS Aurora,False
CRW1032,155,100,Security,Low,Human,Vulpes,SS Andromeda,False
CRW1033,88,88,Navigator,Low,Xel'Naga,Vulpes,SS Aurora,True
CRW1034,156,17,Communications Officer,Moderate,Felid,Vulpes,SS Andromeda,True
CRW1035,63,18,Navigator,Low,Krell,Felix,SS Aurora,False
CRW1036,36,86,Medical Officer,High,Krell,Felix,SS Endeavor,True
CRW1037,132,54,Medical Officer,High,Draconian,Eldar,SS Endeavor,False
CRW1038,178,81,Scientist,High,Xel'Naga,Earth,SS Aurora,False
CRW1039,54,25,Navigator,Moderate,Xel'Naga,Aquaros,SS Andromeda,False
CRW1040,176,5,Medical Officer,High,Synthoid,Felix,SS Orion,False
CRW1041,185,3,Communications Officer,Low,Draconian,Andromeda Prime,SS Aurora,False
